Year,CP,Coal price Growth (%),Oil price Growth (%),Nat Gas price Growth (%),Uranium price Growth (%),Corporate Profits Growth (%),DATE,M2SL,M2 Growth (%),Wages growth (%),Inflation (%)
,,,,,,,"38.899,00","6.886,30",,,
,,,,,,,"38.930,00","6.917,10",,,
,,,,,,,"38.961,00","6.944,20",,,
,,,,,,,"38.991,00","6.993,30",,,
,,,,,,,"39.022,00","7.028,40",,,
,,,,,,,"39.052,00","7.071,60",,,
,,,,,,,"39.083,00","7.109,60",,,
,,,,,,,"39.114,00","7.125,30",,,
,,,,,,,"39.142,00","7.159,10",,,
,,,,,,,"39.173,00","7.231,30",,,
,,,,,,,"39.203,00","7.245,40",,,
,,,,,,,"39.234,00","7.278,60",,,
,,,,,,,"39.264,00","7.309,00",,,
,,,,,,,"39.295,00","7.385,10",,,
,,,,,,,"39.326,00","7.403,20",,,
,,,,,,,"39.356,00","7.417,20",,,
,,,,,,,"39.387,00","7.441,80",,,
,,,,,,,"39.417,00","7.471,60",,,
,,,,,,,"39.448,00","7.505,50",,,
,,,,,,,"39.479,00","7.590,60",,,
,,,,,,,"39.508,00","7.656,20",,,
,,,,,,,"39.539,00","7.699,20",,,
,,,,,,,"39.569,00","7.711,20",,,
,,,,,,,"39.600,00","7.728,90",,,
,,,,,,,"39.630,00","7.775,40",,,
,,,,,,,"39.661,00","7.790,20",,,
,,,,,,,"39.692,00","7.859,50",,,
,,,,,,,"39.722,00","7.965,30",,,
,,,,,,,"39.753,00","8.015,80",,,
,,,,,,,"39.783,00","8.192,10",,,
,,,,,,,"39.814,00","8.273,70",,,
,,,,,,,"39.845,00","8.303,10",,,
,,,,,,,"39.873,00","8.369,30",,,
,,,,,,,"39.904,00","8.372,90",,,
,,,,,,,"39.934,00","8.430,70",,,
,,,,,,,"39.965,00","8.440,50",,,
,,,,,,,"39.995,00","8.445,10",,,
,,,,,,,"40.026,00","8.445,00",,,
,,,,,,,"40.057,00","8.444,20",,,
,,,,,,,"40.087,00","8.471,10",,,
,,,,,,,"40.118,00","8.500,80",,,
,,,,,,,"40.148,00","8.496,00",,,
,,,,,,,"40.179,00","8.458,10",,,
,,,,,,,"40.210,00","8.507,40",,,
,,,,,,,"40.238,00","8.504,50",,,
,,,,,,,"40.269,00","8.535,20",,,
,,,,,,,"40.299,00","8.589,90",,,
,,,,,,,"40.330,00","8.609,00",,,
,,,,,,,"40.360,00","8.618,80",,,
,,,,,,,"40.391,00","8.669,10",,,
,,,,,,,"40.422,00","8.700,10",,,
,,,,,,,"40.452,00","8.749,40",,,
,,,,,,,"40.483,00","8.770,00",,,
,,,,,,,"40.513,00","8.801,80",,,
,,,,,,,"40.544,00","8.823,10",,,
,,,,,,,"40.575,00","8.886,90",,,
,,,,,,,"40.603,00","8.943,50",,,
,,,,,,,"40.634,00","9.004,90",,,
,,,,,,,"40.664,00","9.075,50",,,
,,,,,,,"40.695,00","9.151,00",,,
,,,,,,,"40.725,00","9.316,60",,,
,,,,,,,"40.756,00","9.507,60",,,
,,,,,,,"40.787,00","9.528,30",,,
,,,,,,,"40.817,00","9.562,10",,,
,,,,,,,"40.848,00","9.612,60",,,
,,,,,,,"40.878,00","9.660,10",,,
,,,,,,,"40.909,00","9.733,30",,,
,,,,,,,"40.940,00","9.785,70",,,
,,,,,,,"40.969,00","9.830,60",,,
,,,,,,,"41.000,00","9.884,60",,,
,,,,,,,"41.030,00","9.928,40",,,
,,,,,,,"41.061,00","9.999,30",,,
,,,,,,,"41.091,00","10.051,80",,,
,,,,,,,"41.122,00","10.121,30",,,
,,,,,,,"41.153,00","10.200,80",,,
,,,,,,,"41.183,00","10.267,30",,,
,,,,,,,"41.214,00","10.337,60",,,
,,,,,,,"41.244,00","10.459,70",,,
,,,,,,,"41.275,00","10.482,90",,,
,,,,,,,"41.306,00","10.501,30",,,
,,,,,,,"41.334,00","10.558,30",,,
,,,,,,,"41.365,00","10.586,30",,,
,,,,,,,"41.395,00","10.621,00",,,
,,,,,,,"41.426,00","10.678,70",,,
,,,,,,,"41.456,00","10.718,40",,,
,,,,,,,"41.487,00","10.776,60",,,
,,,,,,,"41.518,00","10.837,20",,,
,,,,,,,"41.548,00","10.961,60",,,
,,,,,,,"41.579,00","10.969,70",,,
,,,,,,,"41.609,00","11.035,00",,,
,,,,,,,"41.640,00","11.080,80",,,
,,,,,,,"41.671,00","11.178,80",,,
,,,,,,,"41.699,00","11.208,10",,,
,,,,,,,"41.730,00","11.257,70",,,
,,,,,,,"41.760,00","11.321,00",,,
,,,,,,,"41.791,00","11.374,90",,,
,,,,,,,"41.821,00","11.429,90",,,
,,,,,,,"41.852,00","11.458,90",,,
,,,,,,,"41.883,00","11.499,80",,,
,,,,,,,"41.913,00","11.566,00",,,
,,,,,,,"41.944,00","11.604,80",,,
,,,,,,,"41.974,00","11.684,90",,,
,,,,,,,"42.005,00","11.745,60",,,
,,,,,,,"42.036,00","11.879,00",,,
,,,,,,,"42.064,00","11.886,80",,,
,,,,,,,"42.095,00","11.928,90",,,
,,,,,,,"42.125,00","11.957,90",,,
,,,,,,,"42.156,00","12.001,70",,,
,,,,,,,"42.186,00","12.051,30",,,
,,,,,,,"42.217,00","12.101,90",,,
,,,,,,,"42.248,00","12.160,80",,,
,,,,,,,"42.278,00","12.195,90",,,
,,,,,,,"42.309,00","12.284,60",,,
,,,,,,,"42.339,00","12.346,80",,,
,,,,,,,"42.370,00","12.469,90",,,
,,,,,,,"42.401,00","12.556,70",,,
,,,,,,,"42.430,00","12.616,70",,,
,,,,,,,"42.461,00","12.700,40",,,
,,,,,,,"42.491,00","12.766,20",,,
,,,,,,,"42.522,00","12.829,40",,,
,,,,,,,"42.552,00","12.887,70",,,
,,,,,,,"42.583,00","12.972,80",,,
,,,,,,,"42.614,00","13.033,60",,,
,,,,,,,"42.644,00","13.100,50",,,
,,,,,,,"42.675,00","13.173,40",,,
,,,,,,,"42.705,00","13.213,40",,,
,,,,,,,"42.736,00","13.283,40",,,
,,,,,,,"42.767,00","13.358,80",,,
,,,,,,,"42.795,00","13.426,90",,,
,,,,,,,"42.826,00","13.484,90",,,
,,,,,,,"42.856,00","13.538,10",,,
,,,,,,,"42.887,00","13.559,20",,,
,,,,,,,"42.917,00","13.618,70",,,
,,,,,,,"42.948,00","13.673,70",,,
,,,,,,,"42.979,00","13.717,90",,,
,,,,,,,"43.009,00","13.770,10",,,
,,,,,,,"43.040,00","13.799,90",,,
,,,,,,,"43.070,00","13.857,90",,,
,,,,,,,"43.101,00","13.869,70",,,
,,,,,,,"43.132,00","13.912,30",,,
,,,,,,,"43.160,00","13.970,20",,,
,,,,,,,"43.191,00","13.988,80",,,
,,,,,,,"43.221,00","14.047,20",,,
,,,,,,,"43.252,00","14.103,60",,,
,,,,,,,"43.282,00","14.139,20",,,
,,,,,,,"43.313,00","14.181,30",,,
,,,,,,,"43.344,00","14.212,90",,,
,,,,,,,"43.374,00","14.222,50",,,
,,,,,,,"43.405,00","14.236,80",,,
,,,,,,,"43.435,00","14.362,70",,,
,,,,,,,"43.466,00","14.430,00",,,
,,,,,,,"43.497,00","14.469,90",,,
,,,,,,,"43.525,00","14.509,90",,,
,,,,,,,"43.556,00","14.541,00",,,
,,,,,,,"43.586,00","14.643,20",,,
,,,,,,,"43.617,00","14.757,70",,,
,,,,,,,"43.647,00","14.840,60",,,
,,,,,,,"43.678,00","14.914,60",,,
,,,,,,,"43.709,00","15.008,10",,,
,,,,,,,"43.739,00","15.140,80",,,
,,,,,,,"43.770,00","15.242,20",,,
,,,,,,,"43.800,00","15.320,70",,,
,,,,,,,"43.831,00","15.396,00",,,
,,,,,,,"43.862,00","15.450,30",,,
,,,,,,,"43.891,00","15.978,70",,,
,,,,,,,"43.922,00","16.997,60",,,
,,,,,,,"43.952,00","17.851,10",,,
,,,,,,,"43.983,00","18.131,70",,,
,,,,,,,"44.013,00","18.286,30",,,
,,,,,,,"44.044,00","18.346,00",,,
,,,,,,,"44.075,00","18.577,30",,,
,,,,,,,"44.105,00","18.729,10",,,
,,,,,,,"44.136,00","18.949,30",,,
,,,,,,,"44.166,00","19.114,20",,,
,,,,,,,"44.197,00","19.356,80",,,
,,,,,,,"44.228,00","19.600,10",,,
,,,,,,,"44.256,00","19.841,00",,,
,,,,,,,"44.287,00","20.116,70",,,
,,,,,,,"44.317,00","20.430,90",,,
,,,,,,,"44.348,00","20.506,50",,,
,,,,,,,"44.378,00","20.662,60",,,
,,,,,,,"44.409,00","20.847,20",,,
,,,,,,,"44.440,00","20.963,90",,,
,,,,,,,"44.470,00","21.116,10",,,
,,,,,,,"44.501,00","21.316,00",,,
,,,,,,,"44.531,00","21.549,30",,,
,,,,,,,"44.562,00","21.562,40",,,
,,,,,,,"44.593,00","21.571,10",,,
,,,,,,,"44.621,00","21.698,20",,,
,,,,,,,"44.652,00","21.677,70",,,
,,,,,,,"44.682,00","21.665,70",,,
,,,,,,,"44.713,00","21.666,50",,,
,,,,,,,"44.743,00","21.703,80",,,
,,,,,,,"44.774,00","21.660,00",,,
,,,,,,,"44.805,00","21.524,20",,,
,,,,,,,"44.835,00","21.432,10",,,
,,,,,,,"44.866,00","21.398,70",,,
,,,,,,,"44.896,00","21.358,10",,,
,,,,,,,"44.927,00","21.212,60",,,
,,,,,,,"44.958,00","21.076,90",,,
,,,,,,,"44.986,00","20.840,30",,,
,,,,,,,"45.017,00","20.673,10",,,
